"WEEK_START","MAIN_BILLER_ID","YEAR","MONTH","WEEK_NUMBER","TOTAL_AMOUNT","TRANSACTION_COUNT","LAST_WEEK_TOTAL_AMOUNT","LAST_WEEK_TRANSACTION_COUNT","LAST_2WEEK_TOTAL_AMOUNT","LAST_2WEEK_TRANSACTION_COUNT","NEXT_WEEK_TOTAL_AMOUNT"
2024-08-27 00:00:00.000,13,2024,8,"35",20330670.97089,816339,19463655.85661,808948,18598333.22734,789858,18390839.70827
2024-09-03 00:00:00.000,13,2024,9,"36",18390839.70827,737756,20330670.97089,816339,19463655.85661,808948,17686085.96001
2024-09-10 00:00:00.000,13,2024,9,"37",17686085.96001,711233,18390839.70827,737756,20330670.97089,816339,18328425.36051
2024-09-17 00:00:00.000,13,2024,9,"38",18328425.36051,759276,17686085.96001,711233,18390839.70827,737756,19494903.79644
2024-09-24 00:00:00.000,13,2024,9,"39",19494903.79644,774255,18328425.36051,759276,17686085.96001,711233,20703051.30508
2024-10-01 00:00:00.000,13,2024,10,"40",20703051.30508,812979,19494903.79644,774255,18328425.36051,759276,18408797.16789
2024-10-08 00:00:00.000,13,2024,10,"41",18408797.16789,729859,20703051.30508,812979,19494903.79644,774255,19842653.95526
2024-10-15 00:00:00.000,13,2024,10,"42",19842653.95526,785947,18408797.16789,729859,20703051.30508,812979,20548327.82833
2024-10-22 00:00:00.000,13,2024,10,"43",20548327.82833,789475,19842653.95526,785947,18408797.16789,729859,20518142.25631
2024-10-29 00:00:00.000,13,2024,10,"44",20518142.25631,763610,20548327.82833,789475,19842653.95526,785947,20842114.74613
2024-11-05 00:00:00.000,13,2024,11,"45",20842114.74613,783406,20518142.25631,763610,20548327.82833,789475,20966343.00012
2024-11-12 00:00:00.000,13,2024,11,"46",20966343.00012,773475,20842114.74613,783406,20518142.25631,763610,23881306.4796
2024-11-19 00:00:00.000,13,2024,11,"47",23881306.4796,846474,20966343.00012,773475,20842114.74613,783406,24829256.15565
2024-11-26 00:00:00.000,13,2024,11,"48",24829256.15565,898191,23881306.4796,846474,20966343.00012,773475,24945356.8852
2024-12-03 00:00:00.000,13,2024,12,"49",24945356.8852,939495,24829256.15565,898191,23881306.4796,846474,25119925.75773
2024-12-10 00:00:00.000,13,2024,12,"50",25119925.75773,789463,24945356.8852,939495,24829256.15565,898191,28471386.3976
2024-12-17 00:00:00.000,13,2024,12,"51",28471386.3976,892660,25119925.75773,789463,24945356.8852,939495,28906908.6382
2024-12-24 00:00:00.000,13,2024,12,"52",28906908.6382,888285,28471386.3976,892660,25119925.75773,789463,31645553.7168
2024-12-31 00:00:00.000,13,2024,12,"01",31645553.7168,992672,28906908.6382,888285,28471386.3976,892660,31051386.9986
2025-01-07 00:00:00.000,13,2025,1,"02",31051386.9986,978633,31645553.7168,992672,28906908.6382,888285,30152291.1568
2025-01-14 00:00:00.000,13,2025,1,"03",30152291.1568,967846,31051386.9986,978633,31645553.7168,992672,26749707.7284
2025-01-21 00:00:00.000,13,2025,1,"04",26749707.7284,871468,30152291.1568,967846,31051386.9986,978633,27818182.1716
2025-01-28 00:00:00.000,13,2025,1,"05",27818182.1716,885430,26749707.7284,871468,30152291.1568,967846,24826144.85
2025-02-04 00:00:00.000,13,2025,2,"06",24826144.85,777874,27818182.1716,885430,26749707.7284,871468,24092809.81
2025-02-11 00:00:00.000,13,2025,2,"07",24092809.81,740705,24826144.85,777874,27818182.1716,885430,23473063.58
2025-02-18 00:00:00.000,13,2025,2,"08",23473063.58,722546,24092809.81,740705,24826144.85,777874,26837449.42
2025-02-25 00:00:00.000,13,2025,2,"09",26837449.42,777456,23473063.58,722546,24092809.81,740705,26193955.975
2025-03-04 00:00:00.000,13,2025,3,"10",26193955.975,757492,26837449.42,777456,23473063.58,722546,24815285.97
2025-03-11 00:00:00.000,13,2025,3,"11",24815285.97,728784,26193955.975,757492,26837449.42,777456,24247653.83
2025-03-18 00:00:00.000,13,2025,3,"12",24247653.83,726477,24815285.97,728784,26193955.975,757492,26695770.82
2025-03-25 00:00:00.000,13,2025,3,"13",26695770.82,764907,24247653.83,726477,24815285.97,728784,24673047.43
2025-04-01 00:00:00.000,13,2025,4,"14",24673047.43,774374,26695770.82,764907,24247653.83,726477,23800317.242
2025-04-08 00:00:00.000,13,2025,4,"15",23800317.242,741098,24673047.43,774374,26695770.82,764907,23510355.37
2025-04-15 00:00:00.000,13,2025,4,"16",23510355.37,746463,23800317.242,741098,24673047.43,774374,23903297.59
2025-04-22 00:00:00.000,13,2025,4,"17",23903297.59,741721,23510355.37,746463,23800317.242,741098,26168053.25
2025-04-29 00:00:00.000,13,2025,4,"18",26168053.25,773146,23903297.59,741721,23510355.37,746463,24106173.86
2025-05-06 00:00:00.000,13,2025,5,"19",24106173.86,742925,26168053.25,773146,23903297.59,741721,23903262.52
2025-05-13 00:00:00.000,13,2025,5,"20",23903262.52,736450,24106173.86,742925,26168053.25,773146,24094654.79
2025-05-20 00:00:00.000,13,2025,5,"21",24094654.79,737747,23903262.52,736450,24106173.86,742925,25321501.75
2025-05-27 00:00:00.000,13,2025,5,"22",25321501.75,750389,24094654.79,737747,23903262.52,736450,10197457
2025-06-03 00:00:00.000,13,2025,6,"23",10197457,298529,25321501.75,750389,24094654.79,737747,
2022-12-27 00:00:00.000,14,2022,12,"52",552579.55,37879,,,,,5401341.57
2023-01-03 00:00:00.000,14,2023,1,"01",5401341.57,336696,552579.55,37879,,,5566160.4
2023-01-10 00:00:00.000,14,2023,1,"02",5566160.4,365587,5401341.57,336696,552579.55,37879,5661180.35
2023-01-17 00:00:00.000,14,2023,1,"03",5661180.35,369522,5566160.4,365587,5401341.57,336696,5759859.35
2023-01-24 00:00:00.000,14,2023,1,"04",5759859.35,369649,5661180.35,369522,5566160.4,365587,5977061.9
2023-01-31 00:00:00.000,14,2023,1,"05",5977061.9,377071,5759859.35,369649,5661180.35,369522,5435204.13
2023-02-07 00:00:00.000,14,2023,2,"06",5435204.13,352778,5977061.9,377071,5759859.35,369649,5199818.94
2023-02-14 00:00:00.000,14,2023,2,"07",5199818.94,351241,5435204.13,352778,5977061.9,377071,5649266.35
2023-02-21 00:00:00.000,14,2023,2,"08",5649266.35,370915,5199818.94,351241,5435204.13,352778,5828683.54
2023-02-28 00:00:00.000,14,2023,2,"09",5828683.54,366737,5649266.35,370915,5199818.94,351241,5580188.48
2023-03-07 00:00:00.000,14,2023,3,"10",5580188.48,357207,5828683.54,366737,5649266.35,370915,4724497.53
2023-03-14 00:00:00.000,14,2023,3,"11",4724497.53,301980,5580188.48,357207,5828683.54,366737,5115281.63
2023-03-21 00:00:00.000,14,2023,3,"12",5115281.63,324829,4724497.53,301980,5580188.48,357207,5224294.61
2023-03-28 00:00:00.000,14,2023,3,"13",5224294.61,329030,5115281.63,324829,4724497.53,301980,5128019.56
2023-04-04 00:00:00.000,14,2023,4,"14",5128019.56,324985,5224294.61,329030,5115281.63,324829,4859607.38
2023-04-11 00:00:00.000,14,2023,4,"15",4859607.38,315255,5128019.56,324985,5224294.61,329030,5340530.11
2023-04-18 00:00:00.000,14,2023,4,"16",5340530.11,350448,4859607.38,315255,5128019.56,324985,4937240.8
2023-04-25 00:00:00.000,14,2023,4,"17",4937240.8,321527,5340530.11,350448,4859607.38,315255,5105624.04
2023-05-02 00:00:00.000,14,2023,5,"18",5105624.04,325392,4937240.8,321527,5340530.11,350448,4929473.7
2023-05-09 00:00:00.000,14,2023,5,"19",4929473.7,326098,5105624.04,325392,4937240.8,321527,4641521.01
2023-05-16 00:00:00.000,14,2023,5,"20",4641521.01,314497,4929473.7,326098,5105624.04,325392,4708925.6
2023-05-23 00:00:00.000,14,2023,5,"21",4708925.6,309435,4641521.01,314497,4929473.7,326098,4813527.56
2023-05-30 00:00:00.000,14,2023,5,"22",4813527.56,306310,4708925.6,309435,4641521.01,314497,4756680.04
2023-06-06 00:00:00.000,14,2023,6,"23",4756680.04,306122,4813527.56,306310,4708925.6,309435,4452548.33
2023-06-13 00:00:00.000,14,2023,6,"24",4452548.33,293735,4756680.04,306122,4813527.56,306310,4742621.1
2023-06-20 00:00:00.000,14,2023,6,"25",4742621.1,300949,4452548.33,293735,4756680.04,306122,5150311.86
2023-06-27 00:00:00.000,14,2023,6,"26",5150311.86,326033,4742621.1,300949,4452548.33,293735,4639119.11
2023-07-04 00:00:00.000,14,2023,7,"27",4639119.11,289049,5150311.86,326033,4742621.1,300949,4509500.44
2023-07-11 00:00:00.000,14,2023,7,"28",4509500.44,289165,4639119.11,289049,5150311.86,326033,4481015.06
2023-07-18 00:00:00.000,14,2023,7,"29",4481015.06,287953,4509500.44,289165,4639119.11,289049,4238392.81
2023-07-25 00:00:00.000,14,2023,7,"30",4238392.81,273967,4481015.06,287953,4509500.44,289165,4210782.55
2023-08-01 00:00:00.000,14,2023,8,"31",4210782.55,262712,4238392.81,273967,4481015.06,287953,4307303.27
2023-08-08 00:00:00.000,14,2023,8,"32",4307303.27,279436,4210782.55,262712,4238392.81,273967,4174524.47
2023-08-15 00:00:00.000,14,2023,8,"33",4174524.47,282738,4307303.27,279436,4210782.55,262712,4453872.71
2023-08-22 00:00:00.000,14,2023,8,"34",4453872.71,287596,4174524.47,282738,4307303.27,279436,4691872.1
2023-08-29 00:00:00.000,14,2023,8,"35",4691872.1,301530,4453872.71,287596,4174524.47,282738,4731252.61
2023-09-05 00:00:00.000,14,2023,9,"36",4731252.61,303861,4691872.1,301530,4453872.71,287596,4520734.28
2023-09-12 00:00:00.000,14,2023,9,"37",4520734.28,300042,4731252.61,303861,4691872.1,301530,4486621.29
2023-09-19 00:00:00.000,14,2023,9,"38",4486621.29,292065,4520734.28,300042,4731252.61,303861,4698465.43
2023-09-26 00:00:00.000,14,2023,9,"39",4698465.43,300851,4486621.29,292065,4520734.28,300042,4495453.41
2023-10-03 00:00:00.000,14,2023,10,"40",4495453.41,282386,4698465.43,300851,4486621.29,292065,4611858.53
2023-10-10 00:00:00.000,14,2023,10,"41",4611858.53,303213,4495453.41,282386,4698465.43,300851,4702784.28
2023-10-17 00:00:00.000,14,2023,10,"42",4702784.28,310455,4611858.53,303213,4495453.41,282386,4986806.81
2023-10-24 00:00:00.000,14,2023,10,"43",4986806.81,324595,4702784.28,310455,4611858.53,303213,4900624.4
2023-10-31 00:00:00.000,14,2023,10,"44",4900624.4,308061,4986806.81,324595,4702784.28,310455,4837872.47
2023-11-07 00:00:00.000,14,2023,11,"45",4837872.47,314113,4900624.4,308061,4986806.81,324595,4644268.6
2023-11-14 00:00:00.000,14,2023,11,"46",4644268.6,305227,4837872.47,314113,4900624.4,308061,4704461.56
2023-11-21 00:00:00.000,14,2023,11,"47",4704461.56,298937,4644268.6,305227,4837872.47,314113,5040008.04
2023-11-28 00:00:00.000,14,2023,11,"48",5040008.04,310748,4704461.56,298937,4644268.6,305227,5681054.42
2023-12-05 00:00:00.000,14,2023,12,"49",5681054.42,355960,5040008.04,310748,4704461.56,298937,5470453.36
2023-12-12 00:00:00.000,14,2023,12,"50",5470453.36,359803,5681054.42,355960,5040008.04,310748,5359504.58
2023-12-19 00:00:00.000,14,2023,12,"51",5359504.58,340237,5470453.36,359803,5681054.42,355960,7515542.39
2023-12-26 00:00:00.000,14,2023,12,"52",7515542.39,448944,5359504.58,340237,5470453.36,359803,7217190.48
2024-01-02 00:00:00.000,14,2024,1,"01",7217190.48,401844,7515542.39,448944,5359504.58,340237,6260611.8
2024-01-09 00:00:00.000,14,2024,1,"02",6260611.8,356598,7217190.48,401844,7515542.39,448944,6441179.31
2024-01-16 00:00:00.000,14,2024,1,"03",6441179.31,375944,6260611.8,356598,7217190.48,401844,6887534.32
2024-01-23 00:00:00.000,14,2024,1,"04",6887534.32,386381,6441179.31,375944,6260611.8,356598,6821277.86
2024-01-30 00:00:00.000,14,2024,1,"05",6821277.86,374139,6887534.32,386381,6441179.31,375944,7135763.19
2024-02-06 00:00:00.000,14,2024,2,"06",7135763.19,385309,6821277.86,374139,6887534.32,386381,7897055.7
2024-02-13 00:00:00.000,14,2024,2,"07",7897055.7,411791,7135763.19,385309,6821277.86,374139,7826087.22
2024-02-20 00:00:00.000,14,2024,2,"08",7826087.22,395506,7897055.7,411791,7135763.19,385309,7864948.63
2024-02-27 00:00:00.000,14,2024,2,"09",7864948.63,413881,7826087.22,395506,7897055.7,411791,8340356.31
2024-03-05 00:00:00.000,14,2024,3,"10",8340356.31,429303,7864948.63,413881,7826087.22,395506,7522615.918
2024-03-12 00:00:00.000,14,2024,3,"11",7522615.918,385748,8340356.31,429303,7864948.63,413881,7047534.39
2024-03-19 00:00:00.000,14,2024,3,"12",7047534.39,369180,7522615.918,385748,8340356.31,429303,7488101.12
2024-03-26 00:00:00.000,14,2024,3,"13",7488101.12,391152,7047534.39,369180,7522615.918,385748,8323110.67
2024-04-02 00:00:00.000,14,2024,4,"14",8323110.67,412380,7488101.12,391152,7047534.39,369180,8455601.68
2024-04-09 00:00:00.000,14,2024,4,"15",8455601.68,445772,8323110.67,412380,7488101.12,391152,7907996.72
2024-04-16 00:00:00.000,14,2024,4,"16",7907996.72,415498,8455601.68,445772,8323110.67,412380,8487604.34
2024-04-23 00:00:00.000,14,2024,4,"17",8487604.34,431195,7907996.72,415498,8455601.68,445772,8548398.87
2024-04-30 00:00:00.000,14,2024,4,"18",8548398.87,421394,8487604.34,431195,7907996.72,415498,7940465.49
2024-05-07 00:00:00.000,14,2024,5,"19",7940465.49,381612,8548398.87,421394,8487604.34,431195,7162078.529
2024-05-14 00:00:00.000,14,2024,5,"20",7162078.529,391562,7940465.49,381612,8548398.87,421394,7300532.29
2024-05-21 00:00:00.000,14,2024,5,"21",7300532.29,388498,7162078.529,391562,7940465.49,381612,7231108.63
2024-05-28 00:00:00.000,14,2024,5,"22",7231108.63,373752,7300532.29,388498,7162078.529,391562,7679066.1
2024-06-04 00:00:00.000,14,2024,6,"23",7679066.1,393704,7231108.63,373752,7300532.29,388498,7333087.36
2024-06-11 00:00:00.000,14,2024,6,"24",7333087.36,387369,7679066.1,393704,7231108.63,373752,6775869.58
2024-06-18 00:00:00.000,14,2024,6,"25",6775869.58,353231,7333087.36,387369,7679066.1,393704,7095650.56
2024-06-25 00:00:00.000,14,2024,6,"26",7095650.56,363405,6775869.58,353231,7333087.36,387369,7521156.71
2024-07-02 00:00:00.000,14,2024,7,"27",7521156.71,379215,7095650.56,363405,6775869.58,353231,7292369.28
2024-07-09 00:00:00.000,14,2024,7,"28",7292369.28,374330,7521156.71,379215,7095650.56,363405,7283710.55
2024-07-16 00:00:00.000,14,2024,7,"29",7283710.55,386661,7292369.28,374330,7521156.71,379215,7395315.39
2024-07-23 00:00:00.000,14,2024,7,"30",7395315.39,377550,7283710.55,386661,7292369.28,374330,7912858.24
2024-07-30 00:00:00.000,14,2024,7,"31",7912858.24,389170,7395315.39,377550,7283710.55,386661,7855426.55
2024-08-06 00:00:00.000,14,2024,8,"32",7855426.55,398507,7912858.24,389170,7395315.39,377550,7426685.39
2024-08-13 00:00:00.000,14,2024,8,"33",7426685.39,393489,7855426.55,398507,7912858.24,389170,7648304.73
2024-08-20 00:00:00.000,14,2024,8,"34",7648304.73,391200,7426685.39,393489,7855426.55,398507,8249942.48
2024-08-27 00:00:00.000,14,2024,8,"35",8249942.48,404298,7648304.73,391200,7426685.39,393489,8579349.87
2024-09-03 00:00:00.000,14,2024,9,"36",8579349.87,407765,8249942.48,404298,7648304.73,391200,8466904.92
2024-09-10 00:00:00.000,14,2024,9,"37",8466904.92,408834,8579349.87,407765,8249942.48,404298,8234858.23
2024-09-17 00:00:00.000,14,2024,9,"38",8234858.23,392460,8466904.92,408834,8579349.87,407765,8712915.61
2024-09-24 00:00:00.000,14,2024,9,"39",8712915.61,405238,8234858.23,392460,8466904.92,408834,8987072.54
2024-10-01 00:00:00.000,14,2024,10,"40",8987072.54,409428,8712915.61,405238,8234858.23,392460,8740519.8
2024-10-08 00:00:00.000,14,2024,10,"41",8740519.8,377558,8987072.54,409428,8712915.61,405238,8290651.16
2024-10-15 00:00:00.000,14,2024,10,"42",8290651.16,381780,8740519.8,377558,8987072.54,409428,8535612.05
2024-10-22 00:00:00.000,14,2024,10,"43",8535612.05,392896,8290651.16,381780,8740519.8,377558,9236261.96
2024-10-29 00:00:00.000,14,2024,10,"44",9236261.96,419126,8535612.05,392896,8290651.16,381780,9099272.8
2024-11-05 00:00:00.000,14,2024,11,"45",9099272.8,404159,9236261.96,419126,8535612.05,392896,8542264.52
2024-11-12 00:00:00.000,14,2024,11,"46",8542264.52,400758,9099272.8,404159,9236261.96,419126,9089535.963
2024-11-19 00:00:00.000,14,2024,11,"47",9089535.963,419137,8542264.52,400758,9099272.8,404159,9770152.68
2024-11-26 00:00:00.000,14,2024,11,"48",9770152.68,433772,9089535.963,419137,8542264.52,400758,9610194.528
